IEPP;DRE;EPP;EDIL;PRIVE;ENSEMBLE;urbain; accs ;"Année 2
EFF CP1  - garçons";"Année 2
EFF CP2 - garçons";"Année 2
EFF CE1 - garçons";"Année 2
EFF CE2 - garçons";"Année 2
EFF CM1 - garçons";"Année 2
EFF CM2 - garçons";"Année 2
Total Eff garçons";"Année 2
EFF CP1  - filles";"Année 2
EFF CP2 - filles";"Année 2
EFF CE1 - filles";"Année 2
EFF CE2 - filles";"Année 2
EFF CM1 - filles";"Année 2
EFF CM2 - filles";"Année 2
Total Eff filles";Annee_2_Total_Eff;"Année 2
NR CP1  - garçons";"Année 2
NR CP2 - garçons";"Année 2
NR CE1 - garçons";"Année 2
NR CE2 - garçons";"Année 2
NR CM1 - garçons";"Année 2
NR CM2 - garçons";"Année 2
NR CP1  - filles";"Année 2
NR CP2 - filles";"Année 2
NR CE1 - filles";"Année 2
NR CE2 - filles";"Année 2
NR CM1 - filles";"Année 2
NR CM2 - filles";"Année 1
EFF CP1  - garçons";"Année 1
EFF CP2 - garçons";"Année 1
EFF CE1 - garçons";"Année 1
EFF CE2 - garçons";"Année 1
EFF CM1 - garçons";"Anné+AR2:AR61e 1
EFF CM2 - garçons";Année1 Eff Total FILLES;"Année 1
EFF CP1  - filles";"Année 1
EFF CP2 - filles";"Année 1
EFF CE1 - filles";"Année 1
EFF CE2 - filles";"Année 1
EFF CM1 - filles";"Année 1
EFF CM2 - filles";LECT_CP1;LECT_CP2;LECT_CE1;LECT_CE2;LECT_CM1;LECT_CM2;CALC_CP1;CALC_CP2;CALC_CE1;CALC_CE2;CALC_CM1;CALC_CM2;année 2 SECTION_CP1;année 2 SECTION_CP2;année 2 SECTION_CE1;année 2 SECTION_CE2;année 2 SECTION_CM1;année 2 SECTION_CM2;année 1 SECTION_CP1;année 1 SECTION_CP2;année 1 SECTION_CE1;année 1 SECTION_CE2;année 1 SECTION_CM1;année 1 SECTION_CM2;bureaux;logement;eau;electricite;terrain spor;latrines;nbre cabines;cours jumelés;lesquels;dur;banco;autres;Salle;places assise;tables;chaises;Present M;Présent F;Tot Présent;Admis M;Admis F;Tot Admis;subvention Etat;PERI;APE;ONG;communaute;AUTRE;SUB _total;Ens Fonct M  (public/com);Ens Fonct F (public/com);Ens Fonct T (public/com);"Aux M 
 (public/com)";Aux F  (public/com);"Aux T
 (public/com)";"Vol. M
 (public/com)";"Vol. F
 (public/com)";"Vol. T
 (public/com)";Ens privé M + fonct/aux M privé;Ens privé F + fonct/aux F privé;Ens privé T + fonct/aux T privé;EnsT hors EV;Ens_Total;R2;Ecole;Total Elèves;Inspecteurs ;Inspectrices;Conseillers;Conseillères;pers. D'encadrement;% d'élèves ayant une place assise;% d'Enseignants fonctionnaires;Aléa dans l'allocation des ens. (R2);"% d'enseignants ""couverts"" par la norme de 300 enseignants par inspecteur";"% d'enseignants ""couverts"" par la norme de 60 enseignants par conseiller pédagogique";Taux brut d'admission au CP1;Taux net d'admission au CP1;Taux d'achèvement;Nombre de certifiés/pop 11 ans;Année 1 Effectif Total ;nb inspecteurs pour 100 écoles;nb conseillers pour 100 écoles;;insp/conseiller;école;enseignants;Nb Cogep PUBLIC + COM;Nb Cantines;Total RED;NR CP2 A2 / Eff CP1 A1;NR CE1 A2 / Eff CP2 A1;NR CE2 A2 / Eff CE1 A1;NR CM1 A2 / Eff CPE2 A1;NR CM2 A2 / Eff CM1 A1;An1 Effectif Public;NR CP2 A2 / Eff CP1 A1 garçons;NR CE1 A2 / Eff CP2 A1 garçons;NR CE2 A2 / Eff CE1 A1 garçons;NR CM1 A2 / Eff CPE2 A1 garçons;NR CM2 A2 / Eff CM1 A1 garçons;An1 Nbre Total GP;NR CP2 A2 / Eff CP1 A1 filles;NR CE1 A2 / Eff CP2 A1 filles;NR CE2 A2 / Eff CE1 A1 filles;NR CM1 A2 / Eff CPE2 A1 filles;NR CM2 A2 / Eff CM1 A1 filles;Tx de reténtion;% de non- redoublants;Indice de parité de réussite au CEPD;Indice de parité de rétention;Indice de parité de % de non-redoublants;Zone urbaine?;Accès à l'école toute l'année ? ;Electricité  ? ;Eau?;Latrines ?;% de places assises /élève;"% élèves dans des salles de 
classe de moins de 40 élèves ";"% élèves qui partage leur 
enseignant avec moins de 40 élèves";% élève ayant un manuel de lecture;% élève ayant un manuel de calcul;% de salles matériaux permanent;Tx de rétention;% non-redoublants;Indice contexte/moyens;Indice résultat;CP1 public;CP2 public;CE1 public;CE2 public;CM1 public;CM2 public;total eff public/com;Enseignants Qualif H;Enseignants Qualif F;Nvx Inscr F;Nvx Inscr G;Nvx inscrits Total;Const_bat;Renov_Bat;Achat_Mob;Renov_Mob;Achat_Equip_Pedag;Achat_Manuels_Scol;Salaire_Ens;Salaire_Autres;Appui_Cantine;Autres_Depenses;Const/Renov Bat;Mobilier;Mat. Didag./manuels;Total Enseignants Hommes;Total Enseignants Femmes;Français_T;Maths_T;Leçons_T;Ensemble_T;Sup10_Fran;Sup10_Math;Sup10_Lec;Sup10_Global
LOME_AEROPORT;GOLFE_LOME;30;0;177;207;207;204;4385;4035;3911;3518;3376;3376;22601;4480;4327;3973;3747;3820;3068;23415;46016;4274;3782;3685;3204;3036;2813;4376;4091;3732;3418;3465;2964;4382;3871;3714;3435;3440;2804;23224;4530;4161;3991;3836;3787;2919;2330;400;876;774;924;332;1599;406;926;813;879;638;230;226;224;223;220;213;219;217;216;209;214;204;96;29;148;164;77;193;690;234;;1609;31;25;1665;46141;4530;4161;0;869;869;221;2330;2551;3335000;200000;0;;;0;3535000;104;62;166;4;0;4;0;0;0;886;223;1109;1279;1279;41,90769845;207;46016;1;0;1;2;4;100;97,64705882;41,90769845;23,45582486;14,07349492;1,699318861;;1,271203598;0,561336399;44870;0,483091787;1,449275362;IEPP LOME AEROPORT;4;207;1279;30;0;3176;0,883415619;0,923431275;0,859441921;0,894099849;0,799363498;10157;0,863076221;0,9519504;0,862681745;0,883842795;0,817732558;1336;0,903090508;0,896899784;0,856426961;0,903284672;0,782677581;0,501090905;0,930980529;0,976721408;0,957354243;0,977180391;1;0,985507246;0,792270531;0,714975845;0,93236715;1;1;1;0,574632953;0,536398858;0,966366366;0,501090905;0,930980529;0,873249128;0,874708065;1780;1814;1799;1699;1664;1052;9808;554;128;7924;8351;16275;15190115;33211216;16842917;7277763;12832044;14239425;119671173;41187727;18320623;33574191;48401331;24120680;27071469;994;285;11,58948448;13,54710018;17,23872291;13,66192568;0,690509666;0,816695958;0,962214411;0,904920914
AGOENYIVE_EST;GOLFE_LOME;40;0;202;242;242;224;6296;5803;5332;4839;4731;4731;31732;5961;5739;5382;5052;4988;3959;31081;62813;6295;5410;5224;4410;4554;3583;5960;5371;5269;4589;4775;3797;5794;5248;4826;4444;4193;3452;28951;5641;5259;4987;4784;4525;3755;1702;1331;1397;1303;1223;927;1767;820;1242;1181;1209;851;275;269;269;264;270;252;247;245;244;240;237;235;128;58;133;149;100;185;663;194;;1847;64;83;1994;57844;5641;5259;11;951;962;354;1702;2056;4675000;0;0;;;31509735;36184735;94;94;188;13;7;20;13;10;23;972;363;1335;1543;1566;30,73032174;242;62813;1;0;3;2;6;92,0892172;90,38461538;30,73032174;19,4426442;19,4426442;2,379431826;;1,604385515;0,446967021;56908;0,41322314;2,066115702;IEPP AGOENYIVE EST;6;242;1543;39;0;3576;0,942807171;0,998667555;0,917048813;1,01094495;0,846524432;15202;0,933724543;0,995426829;0,913800249;1,024752475;0,854519437;1599;0,952136146;1,001901502;0,920192501;0,998118729;0,839116022;0,738929959;0,94306911;0,976796279;0,988522773;0,970104604;1;0,925619835;0,615702479;0,549586777;0,76446281;0,920892172;1;0,982599143;0,498198824;0,446817923;0,926278837;0,738929959;0,94306911;0,794500413;0,916966287;2807;2785;2867;2708;2728;1928;15823;589;256;763;795;1558;21178710;2830850;1740950;2536750;1943220;6120930;433390905;25885000;0;21331060;24009560;4277700;8064150;1092;474;10,78329937;13,01470788;17,31123188;13,18618498;0,597146739;0,769021739;0,954619565;0,884375
AGOENYIVE_OUEST;GOLFE_LOME;44;0;179;223;32;214;6765;6319;5968;5272;4981;4981;34286;6782;6257;6011;5583;5521;4825;34979;69265;6765;5869;5968;4802;4981;4209;6782;5863;6011;5117;5521;4607;6079;5846;5331;5030;4914;4011;32696;6236;5869;5462;5424;5395;4310;5328;1223;2077;1542;1464;912;3192;434;1926;1557;1501;1392;294;290;288;271;272;267;277;281;265;263;273;248;145;92;139;122;113;197;609;124;;1986;24;76;2086;67202;6236;5869;6;1030;1036;380;5328;5708;5049000;5783210;0;;;0;10832210;102;138;240;0;2;2;9;3;12;1031;382;1413;1655;1667;64,51081399;223;69265;1;0;2;2;5;97,02158377;99,17355372;64,51081399;18,12688822;14,50151057;2,904482571;;2,116563051;1,370388146;63907;0,448430493;1,793721973;IEPP AGOENYIVE OUEST;5;223;1655;43;0;2770;0,952659359;1,022535211;0,919021588;1,004591544;0,85517509;16882;0,965454845;1,02086897;0,900769086;0,990258449;0,856532357;1682;0,940186017;1,024194922;0,936836324;1,017883481;0,853938832;0,769105972;0,960008662;0,982280366;0,96033513;0,980879642;0,143497758;0,959641256;0,547085202;0,623318386;0,883408072;0,970215838;1;0,955749657;0,712557506;0,568069518;0,952061361;0,769105972;0,960008662;0,775611674;0,922491078;3156;3172;3041;3096;2834;2308;17607;554;269;873;910;1783;246649700;50327475;41621565;12066560;12932400;27902910;666735500;74601065;2886000;52719505;296977175;53688125;40835310;1142;525;12,56526493;13,3421834;16,7989228;13,87094817;0,768402154;0,782212402;0,930396354;0,882336694
LOME_CENTRE;GOLFE_LOME;39;0;89;128;128;126;2747;2386;2286;2117;2120;2120;13776;2725;2630;2419;2264;2331;1968;14337;28113;2714;2205;2217;1959;2046;1773;2689;2449;2372;2104;2250;1853;2559;2369;2151;2163;2077;1677;13978;2673;2454;2363;2365;2248;1875;1799;266;1191;1138;1164;691;970;125;1072;1097;971;780;139;138;138;135;137;133;139;134;133;132;134;123;69;47;113;111;49;112;483;76;;1193;0;2;1195;28453;2673;2454;16;408;424;115;1799;1914;3610000;11500000;175000;;;3290000;18575000;123;87;210;0;0;0;0;0;0;425;121;546;756;756;65,86930305;128;28113;1;0;1;2;4;100;100;65,86930305;39,68253968;23,80952381;1,091383469;;0,820301367;0,432999673;26974;0,78125;2,34375;IEPP LOME CENTRE;4;128;756;26;4;1482;0,889525994;0,95148248;0,900088613;0,948763251;0,838381503;10106;0,861664713;0,935837906;0,910739191;0,94590846;0,853635051;820;0,916199027;0,966585167;0,890393567;0,951374207;0,824288256;0,605960408;0,947284175;0,966517759;0,958985108;0,979798555;1;0,984375;0,8671875;0,8828125;0,875;1;1;1;0,605054222;0,485573199;0,99832636;0,605960408;0,947284175;0,891527398;0,886150362;1952;1798;1771;1678;1757;1372;10328;397;142;739;771;1510;10500000;86455200;6436000;3879900;2884400;1462000;145536800;69361360;50148000;27429725;96955200;10315900;4346400;548;208;10,78127854;13,19383562;16,9326484;13,16226027;0,583561644;0,775616438;0,95369863;0,858356164
LOME_EST;GOLFE_LOME;28;0;195;223;223;199;4780;4719;4344;4038;4061;4061;26003;4852;4728;4445;4193;4277;3852;26347;52350;4722;4300;4211;3685;3882;3388;4820;4342;4340;3838;4091;3656;4618;4448;4176;4034;3923;3345;25552;4740;4512;4218;4281;4186;3615;2571;526;695;693;616;347;1582;106;770;697;660;498;221;221;221;222;222;222;213;214;213;213;217;208;75;38;209;157;61;196;629;334;;1511;49;188;1748;50204;4740;4512;0;866;866;213;2571;2784;2935000;1400000;0;;;3780000;8115000;113;32;145;5;1;6;1;0;1;879;218;1097;1248;1249;32,36658807;223;52350;0;1;1;2;4;95,90066858;96,02649007;32,36658807;24,03846154;14,42307692;3,239402032;;2,678624006;1,05867252;50096;0,448430493;1,34529148;IEPP LOME EST;4;223;1248;26;0;3075;0,923487925;0,954352679;0,896235406;0,958869513;0,868664447;10750;0,931139021;0,946717626;0,882423372;0,962320278;0,863624777;1329;0,916033755;0,961879433;0,90990991;0,955617846;0,873387482;0,657921036;0,941260745;0,983807988;0,96612873;0,976919876;1;0,892376682;0,704035874;0,937219731;0,878923767;0,959006686;1;0,953581662;0,513816844;0,406771668;0,864416476;0,657921036;0,941260745;0,839201191;0,896998939;1732;2016;1895;1846;1636;1478;10603;494;94;706;730;1436;3830000;1721100;853000;516900;1560900;1396450;12975000;1975000;150;9835250;5551100;1369900;2957350;998;251;10,91412233;13,05460248;16,54798972;12,99637783;0,628174123;0,772067715;0,935006046;0,85595526
LOME_OUEST;GOLFE_LOME;53;0;175;228;161;221;5904;5514;5262;4754;4730;4730;30894;5713;5624;5439;4996;4968;4201;30941;61835;5809;5012;5058;4281;4482;3653;5635;5200;5237;4515;4747;3989;5445;4914;4512;4374;4157;3452;27851;5389;4989;4530;4696;4505;3742;5273;1420;2059;1807;1851;1008;2184;377;1238;1332;1383;1145;261;255;261;254;257;248;234;232;230;233;238;223;179;91;167;159;137;211;936;108;;1797;5;56;1858;60398;5389;4989;3;879;882;226;5273;5499;5747000;0;80500;;;3200000;9027500;130;136;266;23;9;32;0;0;0;958;262;1220;1518;1518;47,96763659;228;61835;0;1;1;2;4;97,67607342;89,26174497;47,96763659;19,76284585;11,85770751;2,545258662;;1,903738373;1,369884496;54705;0,438596491;1,315789474;IEPP LOME OUEST;4;228;1518;50;1;4217;0,942588148;1,039583964;0,97279363;1,01753032;0,882244285;18080;0,920477502;1,029304029;0,948803191;1,024691358;0,87875872;1536;0,964928558;1,049709361;0,996688742;1,010860307;0,885460599;0,855733389;0,931802377;0,960472107;0,895800998;0,966410192;0,706140351;0,969298246;0,697368421;0,73245614;0,925438596;0,976760734;1;0,981968141;0,732143832;0,417908005;0,967168999;0,855733389;0,931802377;0,83327241;0,916165411;3385;3408;3373;3034;3024;2103;18327;611;256;742;761;1503;30461002;8725440;3180600;955575;1458325;4950800;48162800;2120000;2000000;25131216;39186442;4136175;6409125;1111;407;10,96511852;13,8213616;17,05786336;13,40861511;0,615318044;0,824462715;0,953122746;0,886773403
LOME_SUD;GOLFE_LOME;38;0;163;201;201;192;4214;4063;3928;3590;3569;3569;22933;4186;4117;3953;3822;3803;3341;23222;46155;4176;3774;3809;3249;3430;2896;4163;3850;3850;3513;3665;3185;4113;3926;3769;3633;3499;3142;22821;4078;3986;3804;3869;3863;3221;8111;315;1292;1281;1022;526;5694;160;1383;1229;981;730;197;199;199;197;195;194;187;187;190;186;187;187;122;57;178;184;73;167;633;148;;1604;19;14;1637;45213;4078;3986;0;0;0;0;0;0;4795000;0;0;;;0;4795000;153;53;206;0;0;0;0;0;0;796;167;963;1169;1169;15,04779877;201;46155;1;0;2;1;4;97,95905102;100;15,04779877;25,66295979;15,39777588;1,685045028;;1,376212665;0;44903;0,497512438;1,492537313;IEPP LOME SUD;4;201;1169;34;0;2595;0,930777683;0,968023256;0,892909019;0,945747801;0,82599837;12187;0,91757841;0,970198675;0,862032369;0,944123314;0,827665047;1181;0,94409024;0,965880582;0,923501577;0,947273197;0,824488739;0,628482939;0,943776406;0,969317862;0,911750924;0,971962995;1;0,955223881;0,915422886;0,885572139;0,830845771;0,97959051;1;1;1;0,834111958;0,979841173;0,628482939;0,943776406;0,948384026;0,884002184;2237;2123;2225;2083;2002;1531;12201;645;142;849;864;1713;5050000;14908450;6414725;2747175;7509620;6300245;345085800;43430550;2125000;718812903;19958450;9161900;13809865;949;220;10,59304951;13,56632653;16,86913126;13,04018903;0,56239545;0,819839411;0,956507193;0,878721981
AVE;MARITIME;108;5;29;142;24;121;2489;2396;2182;2014;1953;1953;12987;2344;2149;1988;1881;1864;1496;11722;24709;2489;2078;2182;1726;1953;1571;2344;1911;1988;1661;1864;1373;2512;2501;1988;2177;1906;1883;11910;2452;2249;1904;2052;1661;1592;4002;2448;2447;2183;1794;1413;1428;1589;2282;2201;1758;1523;142;141;142;137;139;137;137;141;137;140;136;137;344;155;43;21;112;81;403;462;;769;42;177;988;22579;2452;2249;13;85;98;39;4002;4041;9365000;2879500;9657475;;;1261000;23162975;292;50;342;0;2;2;82;13;95;128;45;173;517;612;75,17506708;142;24709;1;0;1;0;2;91,37965923;99,41860465;75,17506708;58,0270793;11,60541586;1,276963731;;1,009768554;1,386030817;24877;0,704225352;0,704225352;IEPP AVE;2;142;517;108;2;1569;0,803585818;0,877894737;0,87024666;0,902577441;0,825343426;18994;0,827229299;0,87245102;0,868209256;0,897106109;0,824239244;838;0,779363785;0,883948422;0,87237395;0,908382066;0,826610476;0,457336901;0,93650087;0,95800217;0,973981737;0,972106295;0,169014085;0,852112676;0,147887324;0,302816901;0,570422535;0,913796592;1;0,836942005;0,773315291;0,583545332;0,778340081;0,457336901;0,93650087;0,660198239;0,855696958;3765;3427;3128;2914;2839;2402;18475;429;77;930;1023;1953;689000;379750;940900;646775;4296910;1160700;11277925;533500;0;5158115;1068750;1587675;5457610;502;110;8,666717019;13,74690332;15,3121853;12,02697454;0,302416918;0,868277946;0,903625378;0,836253776
BAS_MONO;MARITIME;91;1;31;123;21;111;2550;2302;2165;2112;1821;1821;12771;2447;2172;1957;1906;1822;1565;11869;24640;2550;2046;2165;1864;1821;1516;2447;1936;1957;1691;1822;1413;2679;2320;2179;2057;1965;1627;11731;2508;2106;1947;2031;1809;1330;4131;2321;2443;2308;1951;1141;2038;1276;2140;1948;1789;1435;123;124;123;123;120;120;123;122;122;120;121;120;288;148;53;17;82;75;345;284;;854;145;110;1109;21374;2508;2106;20;105;125;17;4131;4148;10450001;31000000;120000;;;0;41570001;261;16;277;19;5;24;131;20;151;125;17;142;443;594;66,74053549;123;24640;1;0;1;0;2;86,74512987;92,02657807;66,74053549;67,72009029;13,54401806;1,231976103;;0,947273897;1,341513187;24558;0,81300813;0,81300813;IEPP BAS MONO;2;123;443;90;4;1412;0,767688452;0,931314957;0,861609307;0,891144814;0,776099629;19290;0,763717805;0,933189655;0,855438274;0,88526981;0,771501272;733;0,771929825;0,929249763;0,868515665;0,897095027;0,781094527;0,426047211;0,942694805;0,956621868;0,953836264;0,986786674;0,170731707;0,902439024;0,138211382;0,430894309;0,609756098;0,867451299;1;0,719155844;0,743447056;0,552631579;0,77006312;0,426047211;0,942694805;0,652087267;0,842807592;3994;3538;3244;3146;2833;2473;19228;461;44;1340;1384;2724;31176000;614000;560500;1111400;2599000;1245100;1707500;512000;0;2737200;31790000;1671900;3844100;536;58;7,992843952;14,47108726;14,04207064;11,66132024;0,200831025;0,918628809;0,831717452;0,790858726
LACS_EST;MARITIME;58;1;20;79;14;73;1754;1754;1650;1472;1480;1480;9590;1732;1582;1597;1311;1247;834;8303;17893;1753;1374;1391;1142;1150;857;1731;1231;1367;1016;973;732;1788;1740;1513;1449;1464;937;8043;1665;1644;1391;1304;1195;844;2548;1567;1921;1710;1646;763;732;384;1848;1655;1473;1143;82;83;84;78;79;75;78;80;76;74;74;72;105;43;50;29;42;60;370;156;;536;40;65;641;16154;1665;1644;12;77;89;24;2548;2572;6120000;995000;14433850;;;147500;21696350;166;23;189;0;0;0;93;12;105;90;24;114;303;408;75,17307586;79;17893;1;0;1;1;3;90,28111552;100;75,17307586;99,00990099;39,6039604;0,510955521;;0,303904466;0,491908299;16934;1,265822785;2,53164557;IEPP LACS EST;3;79;303;56;0;3176;0,754416449;0,81501182;0,743112948;0,771158736;0,59759308;12928;0,768456376;0,799425287;0,754791804;0,793650794;0,585382514;481;0,739339339;0,831508516;0,730409777;0,746165644;0,612552301;0,210561627;0,822500419;0,9719775;0,952712894;0,941570356;0,17721519;0,924050633;0,367088608;0,632911392;0,759493671;0,902811155;1;0,677359861;0,782900316;0,557782746;0,836193448;0,210561627;0,822500419;0,718150585;0,777833261;2642;2436;2439;2156;2008;1290;12971;267;40;9969;10156;20125;185900;184000;724150;694450;2409000;1026400;14910300;0;0;2756865;369900;1418600;3435400;349;59;8,018144407;12,92578563;15,77572016;11,48412698;0,191358025;0,791806958;0,939393939;0,767676768
